Название товара	Душевая кабина Deto D119
Описание товара	Безсиликоновая сборка;, Резьбовые соединения;, Металические (верхние и нижние) саморегулирующиеся безопасные ролики в пластиковом антикоррозийном кожухе;, Армированный акриловый поддон на металлическом каркасе;, Антильскользящее покрытие;, Задние стенки изготовлены из белого ударопрочного стекла толщиной 4 мм., Переднее матовое закаленное стекло толщиной 4 мм., Алюминиевый глянцевый профиль;, Латунный смеситель и переключатель режимов;, Полочка с ограничителем;, Зеркало;, Верхняя лейка (тропический дождь), Крыша;, Штанга для регулирование высоты ручной лейки;, Ручная лейка d 140 мм., Высота поддона 15 см., Настил из имитации дерева, Сифон с гидрозатвором
Цена в рублях	55800
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	110
Ширина, см	90
Высота, см	200
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	1100х900х2080
Высота поддона	Низкий
Материал поддона	Акрил
Форма	Прямоугольник
Материал задней стенки	Стекло
Цвет фурнитуры	Серебристый
Гарантия	5 лет
Двери	Раздвижные в стороны
Число дверей	1
Цвет стенки	Белый
Материал дверей	Стекло
Установлено	Ручной душ
Монтаж	На поддон
Бренд	DETO
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/279458340?oos_search=false
Статус 	Закончился
