Название товара	Душевая кабина Deto D80 (80x80 х200), установка универсальная, поддон 45 см высокий, без крыши
Описание товара	Душевая кабина Deto D80:, , без крыши;, , передний съемный экран поддона;, , литое сиденье;, , сборка без силикона;, , резьбовые соединения всех шлангов;, , усиленный акриловый поддон;, , антискользящее покрытие поддона;, , двойные металлические ролики (верхние и нижние) в пластиковом антикоррозийном кожухе;, , крючок для мочалки;, , штанга для ручного душа;, , сифон с гидрозатвором;, , Характеристики, , Производитель: Deto, , Серия: D, , Длина и ширина, (см): 80x80, , Высота, (см): 200, , Наличие поддона: есть, , Форма: четверть круга, , Расположение: угловая, , Тип поддона: высокий, , Высота поддона, (см): 45, , Глубина поддона, (см): 31, , Регулируемая высота ножек: есть, , Наличие крыши: нет, , Длина, (см): 80, , Ширина, (см): 80, , Пульт управления: нет, , Цвет задних стенок: белый, , Материал задней стенки: стекло, , Конструкция дверей: раздвижные, , Кол-во створок двери: 2, , Толщина стекол, (мм): 4, , Цвет профиля: хромированный, , Материал профиля: алюминий, , Верхний душ: нет, , Ручной душ: есть, со шлангом 150 см, , Крепление ручного душа на стенке: есть, , Регулировка напора воды: есть, , Верхняя подсветка: нет, , Вертикальная подсветка: нет, , Сиденье: есть, , Вертикальный гидромассаж: нет, , Кол-во гидромассажных форсунок: нет, , Гидромассаж ног: нет, , Вентиляция: есть, , Радио: нет, , Полочка: есть, , Зеркало: есть, , Дозатор шампуней: нет, , Турецкая баня: нет, , Материал поддона: акрил, , Съемный экран: есть, , Наличие сифона: есть в комплекте, , Хромотерапия: нет, , Озонотерапия: нет, , Страна бренда: Финляндия, , Страна изготовитель: Финляндия, , Гарантия, (лет): 5, , Масса в упаковке, (кг): 70, , Кол-во мест в упаковке, (шт): 3, , Вид упаковки: картон, , Объем упаковки, (м³): 0,72, , ЦВЕТ: матовый, Показать полностью
Цена в рублях	41690
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Сантехника Люкс
Количество отзывов	3
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	200
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	800х800х2080
Двери	Раздвижные в стороны
Бренд	DETO
Число дверей	2
Установлено	Нескользящее покрытие пола
Материал задней стенки	Стекло
Форма	Четверть круга
Цвет стенки	Белый
Материал дверей	Стекло
Высота поддона	Высокий
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Ориентация установки	Универсальная
Гарантия	5 лет
Адрес товара	https://www.ozon.ru/product/301858152?oos_search=false
Статус 	Закончился
