Название товара	Душевой бокс Parly CNE170
Описание товара	Душевой бокс CNE170, , Размер: 170х75х215см, , Душевой бокс объединяет в себе ванну и душевую кабину. Размер модели позволяет полежать в «ванне» взрослому человеку., , Достоинства:, Закаленное тонированное стекло, толщина 4 мм.,  Задние стенки – закаленное черное стекло, 4 мм., Профиль: матовый хромированный алюминиевый, устойчив к коррозии., Поддон: высокий прямоугольный 50 см. Съемный экран облегчает доступ к коммуникациям., Верхний душ ТРОПИК, ручной душ, сифон, налив воды в поддон., В серебристую центральную панель возможна установка сенсорного пульта., Без пульта, без радио, без света!
Цена в рублях	64500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевой бокс
Длина, см	170
Ширина, см	75
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1700х750х2150
Цвет стенки	Черный
Материал поддона	ABS пластик
Материал задней стенки	Стекло
Материал дверей	Закаленное стекло
Ориентация установки	Универсальная
Монтаж	Напольный
Бренд	Parly
Форма	Прямоугольник
Высота поддона	Высокий
Число дверей	2
Гарантия	1 год
Двери	Раздвижные в стороны
Установлено	Полка
Адрес товара	https://www.ozon.ru/product/301039643?oos_search=false
Статус 	Закончился
