Название товара	Душевая кабина DOMANI-Spa Delight 88 High HWM10 (80*80*218)
Описание товара	Душевая кабина DOMANI-Spa Delight 88 High, высокий поддон, белые стенки, матовые передние стекла, кнопочный пульт управления, размер 80*80*218.,  , Душевая кабина изготовлена в Екатеринбурге из закалённого стекла и белого санитарного акрила.,  , Кабина сияет изнутри за счёт применения качественного сырья поддона, центральной панели и крыши., Самое большое внутреннее пространство для пользователя (77 см в области плеч)., Крашенные задне стенки ударопрочной краской., Усиленный поддон сплошным листом ДСП 16мм., Легкосъемный передний экран., Прочная рама из стального профиля квадратного сечения с опорами на шпильках с регулировкой высоты до 4 см.,  , Сифон с сеткой для улавливания мусора., Латунный смеитель с ручками из металла., Лейка ручного душа на 5 режимов (массаж, душ, туман и 2 промежуточных)., Большая лейка верхнего душа., Громкое радио и яркий свет от светодиодной лампы., В комплекте имеется подробная инструкция по сборке на русском языке., , Гарантия на поддон, крышу, центральную панель, передние и задние стенки - 10 лет. Гарантия на комплектующие - 1 год.
Цена в рублях	
Цена без скидки	-
Оценка покупателей	0%
Название магазина	ДоманиСпаСервис
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	218
Толщина стекла, мм	4
Стекло	Матовое
Страна-изготовитель	Россия
Цвет	Задние стенки белые и сатин-матированные передние стекла
Размеры, мм	800x800x2180
Двери	Раздвижные в стороны
Ориентация установки	Универсальная
Гарантия	10 лет
Число дверей	2
Форма	Четверть круга
Число форсунок	6
Бренд	Domani-Spa
Материал поддона	Акрил
Материал дверей	Закаленное стекло
Цвет стенки	Белый
Высота поддона	Высокий
Адрес товара	https://www.ozon.ru/product/243555969?oos_search=false
Статус 	Не доставляется
