Название товара	Душевая кабина Parly EB83
Описание товара	Душевая кабина Parly EB83, , Размер: 80х80х215 см, , Компактная кабина с низким поддоном подойдет для небольших санузлов и в дома, где живут пожилые и люди с заболеваниями ног. Высоту бортика легко преодолеть, а рельефное дно предупреждает падения., , Достоинства:, Стекло закаленное, 4 мм. Переднее стекло прозрачное, рифленое, жемчужное., Заднее стекло прозрачное, рифленое, жемчужное., Поддон армированный, водонепроницаемый, высотой 10 см., Белый алюминиевый профиль устойчив к образованию коррозии, не деформируется при перепаде температур и высокой влажности., Пластиковая центральная панель, в которую можно врезать сенсорный пульт., Оснащение: однорычажный смеситель, верхний душ, ручная лейка., Раздвижные двери на белых одиночных роликах. Створки смыкаются плотно, вода сквозь стык не просачивается. Двери фиксируются пластиковыми магнитными лентами.
Цена в рублях	33875
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	800х800х2150
Высота поддона	Низкий
Форма	Четверть круга
Монтаж	Напольный
Цвет стенки	Белый
Число дверей	2
Гарантия	1 год
Материал задней стенки	Стекло
Материал поддона	ABS пластик
Цвет фурнитуры	Серебристый
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Установлено	Верхний душ
Бренд	Parly
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/301058737?oos_search=false
Статус 	Закончился
