Название товара	Душевая кабина Parly EC92 Размер 90х90 х215 см Поддон высокий 42 см, полукруглый
Описание товара	Душевая кабина Parly EC92, , Размер: 90х90х215 см , , Душевая кабина с черными задними стенками станет стильным акцентов в ванной комнате. Высокий поддон удобно использовать в качестве ванночки для купания детей или замачивания крупных вещей., , Достоинства:, Тонированное стекло, 4 мм. Безопасное закаленное полотно устойчиво к случайным ударам. В случае битья стекло рассыпается на гранулы с тупыми концами, о которые невозможно травмироваться., Стенки – закаленное черное стекло, 4 мм., Профиль: белый алюминиевый. Не боится высокой влажности и перепадов температуры, устойчив к образованию коррозии., Поддон: высокий 42 см, полукруглый, рельефное дно, литое сиденье., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., Магнитные уплотнители под 45° не позволяют теплу выходить из душевой кабины, защищают помещение от просачивания воды., Раздвижные двери не соскакивают с направляющих, образуют комфортную ширину входа., Соединение без болтовое., Дополнительные силиконовые уплотнители для задних стенок., Возможна установка сенсорного пульта в центральную панель.
Цена в рублях	25800
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Доставка в дом Market-santehniki.ru
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Черный
Материал поддона	Акрил
Цвет стенки	Черный
Материал дверей	Закаленное стекло
Монтаж	Напольный
Форма	Четверть круга
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Бренд	Parly
Ориентация установки	Универсальная
Гарантия	1 год
Число дверей	2
Высота поддона	Средний
Адрес товара	https://www.ozon.ru/product/287969789?oos_search=false
Статус 	Закончился
