Название товара	Душевая кабина ARCUS S-02G
Описание товара	90х90х194 см Идеальный вариант для дачи и бани, удобное литое сиденье, усиленный поддон. ARCUS S-02G - это открытая полукруглая душевая кабина без крыши, с раздвижными дверьми, оборудованная ручным душем. Стекла закаленные, травмо безопасные, тонированные, толщиной 4-5 мм. Поддон АВС акрил, высотой 40 см, на металлическом каркасе, с регулируемыми ножками со съемным экраном. Центральная стойка - усиленный АВС пластик. Задние стенки - стекло черного цвета, профиль - алюминий, хром. Производство - ARCUS (Китай) Гарантия - 1 год Срок службы – 10 лет Душевые кабины и душевые уголки с торговой маркой «Arcus» производятся в Китае, на новой фабрике, расположенной в промышленно развитой провинции Ханжоу. Использование высоко технологического оборудования и качественных исходных материалов позволяет выпускать надежные в эксплуатации душевые кабины, которые пользуются огромной популярностью у российского покупателя.
Цена в рублях	21750
Цена без скидки	35350
Оценка покупателей	0%
Название магазина	Shower5.ru
Количество отзывов	0
Тип	Душевая кабина, Душевой бокс
Длина, см	90
Высота, см	194
Стекло	Тонированное
Страна-изготовитель	Китай
Форма	Четверть круга
Бренд	Arcus
Высота поддона	Высокий
Адрес товара	https://www.ozon.ru/product/280947473?oos_search=false
Статус 	В наличии
