Название товара	Душевая кабина Parly BE118
Описание товара	Душевая кабина BE118, , Размер: 118х118х215 см, , Просторный душевой уголок с высоким поддоном. Светлая модель актуальна для любого оформления ванной комнаты. Внутри кабины достаточно места, чтобы с комфортом принимать водные процедуры. Кабина герметична, вода сквозь стыки не просачивается. Внутри хорошо сохраняется тепло., , Достоинства:, Стекло: 4 мм матовое закаленное. На матовом полотне практически не видны разводы от воды и мыла., Стенки: закаленное белое стекло,4 мм., Профиль: белый, алюминиевый, устойчив к образованию коррозии., Поддон: высокий, полукруглый. В поддоне удобно купить детей и животных, замачивать крупные вещи., Раздвижные двери открываются плавно, створки смываются плотно., Комплектация: полка, верхний душ ТРОПИК, ручной душ, зеркало, налив воды в поддон. Сифон не пропускает в ванную запахи канализации.,  
Цена в рублях	56750
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	118
Ширина, см	118
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Матовый
Размеры, мм	1180х1180х2150
Гарантия	1 год
Материал дверей	Закаленное стекло
Материал задней стенки	Стекло
Двери	Раздвижные в стороны
Ориентация установки	Универсальная
Цвет фурнитуры	Серебристый
Число дверей	2
Материал поддона	ABS пластик
Форма	Четверть круга
Высота поддона	Высокий
Бренд	Parly
Установлено	Полка
Монтаж	Напольный
Адрес товара	https://www.ozon.ru/product/300708824?oos_search=false
Статус 	Закончился
