Название товара	Душевая кабина Parly CM101
Описание товара	Душевая кабина Parly CM101, , Размер: 100х100х215 см, , В душевой кабине стильно сочетается белый профиль и черные задние стенки. За счет контраста оттенков модель смотрится современно., , Достоинства:, Тонированное закаленное стекло толщиной 4 мм практически невозможно разбить. В случае битья полотно рассыпается на мелкие гранулы с тупыми концами о которые невозможно пораниться., Задние стенки из черного закаленного стекла, 4 мм., Белый алюминиевый профиль не подвержен коррозии., Поддон: средний 26 см с бортиком 2 см. Высота бортика предупреждает разбрызгивание воды и позволяет замачивать в поддоне небольшие вещи., Ролики: белые на клипсах, верхние двойные и одинарные нижние. Раздвижные двери ходят плавно и не соскакивают с направляющих., Комплектация: полка, верхний душ ТРОПИК, ручной душ NEW, магнитный замок soft close., Внутри больше места, чем в моделях аналогичного размера за счет отсутствия центрального столба., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны.
Цена в рублях	43250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1000х1000х2150
Установлено	Полка
Высота поддона	Средний
Материал задней стенки	Стекло
Цвет фурнитуры	Белый
Число дверей	2
Ориентация установки	Универсальная
Гарантия	1 год
Монтаж	Напольный
Материал дверей	Закаленное стекло
Цвет стенки	Черный
Бренд	Parly
Форма	Четверть круга
Материал поддона	ABS пластик
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/301008019?oos_search=false
Статус 	Закончился
