Название товара	Душевая кабина Niagara NG-116-15
Описание товара	Душевая кабина Niagara Classic NG11615 относится к среднему ценовому сегменту. Для оборудования такого класса характерно высокое качество материалов и комплектующих. Данная модель имеет габаритные размеры 90x90x215 см., что делает ее достаточно просторной. Ее высота составляет 215 см. Эта кабина комплектуется крышей + тропическим душем. Поддон Classic NG11615 имеет небольшую высоту и составляет 15 см. Это позволяет легко входить в кабину, а также делает ее дешевле. Выполнен поддон из акрила и имеет форму четверти круга. Двери и стенки данной модели выполнены из стекла толщиной 4 мм. Это дает Classic NG11615 среднюю степень звукоизоляции, а также обеспечивает приемлемую цену и высокую долговечность. Из дополнительных функций в данной модели присутствуют:, Тропический верхний душ, Вентиляция
Цена в рублях	31560
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	(900х900х2150)
Ориентация установки	Универсальная
Цвет стенки	Белый
Гарантия	5 лет
Бренд	Niagara
Монтаж	На поддон
Цвет фурнитуры	Серебристый
Форма	Четверть круга
Высота поддона	Низкий
Материал дверей	Стекло
Материал поддона	Акрил
Двери	Раздвижные в стороны
Число дверей	2
Адрес товара	https://www.ozon.ru/product/305115628?oos_search=false
Статус 	Закончился
