Название товара	Душевая кабина Erlit ER3510P-C3
Описание товара	Кабина, зеркало
Цена в рублях	34658
Цена без скидки	-
Оценка покупателей	0%
Название магазина	sanbravo-k
Количество отзывов	0
Тип	Душевая кабина
Ширина, см	100
Высота, см	215
Толщина стекла, мм	4
Управление	Ручное
Страна-изготовитель	Россия
Цвет	Белый
Размеры, мм	1000x1000x2150
Ориентация установки	Универсальная
Гарантия	1 год
Форма	Четверть круга
Бренд	Erlit
Адрес товара	https://www.ozon.ru/product/256595298?oos_search=false
Статус 	Закончился
