Название товара	Душевая кабина Deto D120S R
Описание товара	Безсиликоновая сборка;, Резьбовые соединения;, Металические (верхние и нижние) саморегулирующиеся безопасные ролики в пластиковом антикоррозийном кожухе;, Армированный акриловый поддон на металлическом каркасе;, Антильскользящее покрытие;, Задние стенки изготовлены из белого ударопрочного стекла толщиной 4 мм., Переднее матовое закаленное стекло толщиной 4 мм., Алюминиевый глянцевый профиль;, Латунный смеситель и переключатель режимов;, Полочка с ограничителем;, Зеркало;, Крепление ( крючок ) для мочалок;, Верхняя лейка (тропический дождь), Крыша с двумя вентиляционными отверстиями;, Штанга для регулирование высоты ручной лейки;, Ручная лейка d 140 мм., Высота поддона 50 см., Передний съемный экран;, Встроенная литая сидушка;, Донный клапан (клик-клак), Сифон с гидрозатвором
Цена в рублях	48300
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	220
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	1200х800х2200
Материал задней стенки	Стекло
Цвет стенки	Белый
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Ориентация установки	Правосторонняя
Форма	Нестандартная
Материал дверей	Стекло
Бренд	DETO
Число дверей	2
Материал поддона	Акрил
Гарантия	5 лет
Монтаж	На поддон
Высота поддона	Высокий
Адрес товара	https://www.ozon.ru/product/279456646?oos_search=false
Статус 	Закончился
