Название товара	Душевая дверь CEZARES ECO-O-B-1-70-C-NERO
Описание товара	Монтаж: в нишу, , Возможная установка: на поддон, на пол, , Высота: 1900 мм, , Форма: прямоугольная, , Ориентация: универсальная, , Конструкция двери: распашная, , Цвет профиля: черный матовый (Nero), , Исполнение полотна двери: прозрачное (C), , Количество секций двери: 1, , Толщина полотна двери: 6 мм, , Цвет профиля: хром, , Материал полотна двери: закаленное стекло, стандарт EN12150-1:2000, , Материал профиля: анодированный алюминий, стандарт DIN17611 2007, , Регулировка ширины: предусмотрена за счет боковых профилей, , Крепления полотна двери: цилиндрическая подъемная петля, , Дополнительная информация: поддон приобретается отдельно, возможна комплектация барьером из искусственного мрамора, , Ресурс эксплуатации: 15 лет, , , , Гарантия: 3 года с даты продажи, за исключением резинотехнических изделий, , , , - на резинотехнические изделия (силиконовые уплотнители, магнитные уплотнители) 1 год с даты продажи, , Показать полностью
Цена в рублях	21520
Цена без скидки	27003
Оценка покупателей	100%
Название магазина	"ООО ""Сушилка"""
Количество отзывов	1
Технические свойства	Конструкция дверей
Распашная	Размеры
Материал	Закаленное стекло
Дополнительные	Тип
Душевая дверь	Цвет
Черный	Гарантия
3 года	Бренд
Cezares	Страна-изготовитель
Адрес товара	https://www.ozon.ru/product/258996931?oos_search=false
Статус 	В наличии
