Название товара	Душ.Ограждение Cerutti SPA ZQD91
Описание товара	"Душевой уголок Ceruttispa ZQD91 без поддона, , Размер: 900х1950х900 мм, ,  , , Душевой уголок с дизайнерским рисунком ""Cerchi sull'acqua"" станет ""изюминкой"" в ванной комнате. Узор на стекле скроет человека внутри уголка и подарит ощущение комфорта. Достоинства:, универсальная сборка;, складная дверь Soffietto из 2х частей (гармошка) ходит плавно, не заедает;, алюминиевый профиль Cromato не подвержен коррозии;, стальные ручки и петли сохранят свою эстетику на долгие годы;, толщина закаленного стекла - 6 мм., Особенности: 1 витрина = 4 вида товара на продажу, высота 195 см без поддона!, ,  , , Приобретается отдельно: поддон Q91 низкий, решетка MIMI90 и сифон"
Цена в рублях	21989
Цена без скидки	-
Оценка покупателей	96.1778%
Название магазина	Сантехника Люкс
Количество отзывов	11
Тип	Душевое ограждение
Длина, см	900
Ширина, см	900
Высота, см	1950
Толщина стекла, мм	6
Бренд	CERUTTI
Ориентация установки	Универсальная
Число дверей	2
Форма	Прямоугольник
Адрес товара	https://www.ozon.ru/product/301885491?oos_search=false
Статус 	Закончился
